"TARGSITEID","SITEID","SAMPLEID","HgCOMP","AREA_SQKM","SAMPLEID.MRG"
"TS0172",2007190621,2007190621001,18.2097,6617,"2007190621001"
"TS0173",2007191546,2007191546002,13.1639,5702,"2007191546002"
"TS0173",2007191546,2007191546001,14.3765,5702,"2007191546001"
"TS0174",2007191241,2007191241001,3.8239,3582,"2007191241001"
"TS0174",2007190746,2007190746001,2.6052,3582,"2007190746001"
"TS0174",2007190746,2007190746002,4.0518,3582,"2007190746002"
"TS0174",2007191241,2007191241002,4.0453,3582,"2007191241002"
"TS0176",2007190716,2007190716001,0.9705,9630,"2007190716001"
"TS0177",2007190522,2007190522001,6.4518,8937,"2007190522001"
"TS0177",2007190522,2007190522002,5.9955,8937,"2007190522002"
"TS0178",2007190248,2007190248001,5.32555,5273,"2007190248001"
"TS0178",2007191198,2007191198002,11.7979,5273,"2007191198002"
"TS0179",2007191272,2007191272002,6.1688,8350,"2007191272002"
"TS0179",2007191272,2007191272001,5.3126,8350,"2007191272001"
"TS0180",2007190223,2007190223002,2.7194,5475,"2007190223002"
"TS0180",2007190223,2007190223001,8.3878,5475,"2007190223001"
"TS0181",2007191393,2007191393001,9.7617,8960,"2007191393001"
"TS0181",2007191393,2007191393002,3.6015,8960,"2007191393002"
"TS0182",2007190705,2007190705001,2.9328,3862,"2007190705001"
"TS0182",2007190705,2007190705002,1.5455,3862,"2007190705002"
"TS0183",2007191097,2007191097001,5.0237,8987,"2007191097001"
"TS0183",2007191097,2007191097002,7.2818,8987,"2007191097002"
"TS0184",2007190338,2007190338002,5.0399,8239,"2007190338002"
"TS0185",2007191295,2007191295001,5.71,9117,"2007191295001"
"TS0186",2007190510,2007190510002,1.4489,7644,"2007190510002"
"TS0186",2007190510,2007190510001,3.49435,7644,"2007190510001"
"TS0187",2007190391,2007190391002,3.9879,7067,"2007190391002"
"TS0187",2007190391,2007190391001,4.321,7067,"2007190391001"
"TS0212",2007190024,2007190024002,5.2963,1863,"2007190024002"
"TS0212",2007190024,2007190024001,2.5171,1863,"2007190024001"
"TS0213",2007190850,2007190850002,7.93845,3369,"2007190850002"
"TS0213",2007190850,2007190850001,9.2906,3369,"2007190850001"
"TS0216",2007191448,2007191448001,8.6817,1856,"2007191448001"
"TS0216",2007191448,2007191448002,13.6722,1856,"2007191448002"
"TS0217",2007190962,2007190962002,16.8626,1909,"2007190962002"
"TS0217",2007190197,2007190197001,10.4688,1909,"2007190197001"
"TS0217",2007190197,2007190197002,12.2019,1909,"2007190197002"
"TS0217",2007190962,2007190962001,14.427,1909,"2007190962001"
"TS0220",2007191499,2007191499002,22.7146,2285,"2007191499002"
"TS0220",2007191499,2007191499001,12.8934,2285,"2007191499001"
"TS0221",2007190317,2007190317001,6.3463,4112,"2007190317001"
"TS0221",2007190317,2007190317002,4.816,4112,"2007190317002"
"TS0222",2007191394,2007191394001,15.5742,2590,"2007191394001"
"TS0222",2007191394,2007191394002,14.2661,2590,"2007191394002"
"TS0224",2007190966,2007190966002,5.835,8306,"2007190966002"
"TS0224",2007190966,2007190966001,12.9401,8306,"2007190966001"
"TS0225",2007190942,2007190942002,5.3438,1484,"2007190942002"
"TS0225",2007190942,2007190942001,4.4579,1484,"2007190942001"
"TS0231",2007190565,2007190565002,6.8505,8122,"2007190565002"
"TS0231",2007190565,2007190565001,12.2745,8122,"2007190565001"
"TS0232",2007191576,2007191576001,9.7639,6826,"2007191576001"
"TS0232",2007191576,2007191576002,3.0401,6826,"2007191576002"
"TS0236",2007191258,2007191258001,9.862,1913,"2007191258001"
"TS0244",2007191598,2007191598001,12.3612,1409,"2007191598001"
"TS0244",2007190328,2007190328001,11.6253,1409,"2007190328001"
"TS0244",2007190328,2007190328002,10.8948,1409,"2007190328002"
"TS0244",2007191598,2007191598002,16.7722,1409,"2007191598002"
"TS0249",2007190354,2007190354002,5.4546,1676,"2007190354002"
